,random_sees,train_rMSE,validation_rMSE,test_rMSE,dtw_std_train,dtw_std_val,dtw_std_test,genotype
0,0,0.1305502900524843,0.06537051303113718,0.13145148058755915,0.20685184289709996,0.18754612843582635,0.15480764225477558,33
0,1,0.13260740968496587,0.07371094865551261,0.11067929727140471,0.19931426822753484,0.19968927298884603,0.14553249166348647,33
0,2,0.13246930398456228,0.06586913612253527,0.11991320470789073,0.19781762515166146,0.19604167487215535,0.1399440785235062,33
0,3,0.13135961146349304,0.06782822121033444,0.1199007557702144,0.20213268440820936,0.2008507262637161,0.14797831319749805,33
0,4,0.12960120323373125,0.07115479966961809,0.10641020828358422,0.20098774977014655,0.1950511471834186,0.1436657868024428,33
0,0,0.12837449625910738,0.06384610520279037,0.14424696613219168,0.203534807443227,0.1724931427033854,0.1315511044942363,106
0,1,0.13012725697212268,0.06599712990741011,0.14990468218011704,0.20370581358689094,0.18054240167776422,0.13643612303875532,106
0,2,0.13003045879645025,0.06530543971392216,0.15553208668433857,0.20104286496375473,0.18290065070829453,0.13810123148140316,106
0,3,0.1287879912616537,0.06465252494182175,0.14465948224460215,0.2036875853295186,0.1746092750844881,0.13189230966461216,106
0,4,0.1268717391652739,0.06241708437200492,0.14526768746055502,0.20413584205297158,0.16928533121109823,0.13100658052485822,106
0,0,0.0807178064969987,0.019296443280935376,0.09030525874603346,0.13352847581949143,0.059333496665831535,0.09859713316700176,122
0,1,0.0815450640358295,0.01862724601304693,0.092178632544395,0.13216361377946667,0.058587909577330545,0.09603458470939448,122
0,2,0.08181955863677967,0.02474114837029172,0.0845343110069859,0.13209660533419262,0.07283405928431941,0.09463884366771325,122
0,3,0.08102533680887018,0.025154889497912513,0.08390735252971424,0.1292165971327487,0.07537557587750582,0.08956280671035774,122
0,4,0.08017911802764228,0.027430486227416073,0.08098329025066604,0.12831900694103532,0.07938607780945732,0.08445104154326531,122
0,0,0.09838345969019405,0.03185760201365941,0.10585082530026108,0.17763948363367082,0.09810475413623142,0.10479895283149103,133
0,1,0.09895239021463577,0.0313027965682007,0.10337617347984351,0.17703081373119742,0.09601210160583332,0.10242357089873576,133
0,2,0.09985946959955143,0.031113827443023226,0.103527714207783,0.17670676556649523,0.09539868937340412,0.1017305817106769,133
0,3,0.09911331932092876,0.030428003055064975,0.10472280064459273,0.1760502200927147,0.09444575406814229,0.09954413696270688,133
0,4,0.0978318422373648,0.03162032225908807,0.10847509866513985,0.17781898748937142,0.09927355539042675,0.10227686548553809,133
0,0,0.11247336218991874,0.13471072618916535,0.0389375325505566,0.13881687941416332,0.07607606217136376,0.09312680201704478,5
0,1,0.11357929174305327,0.13410111635157318,0.036584733916262414,0.13858837889616235,0.0767768779365148,0.09133354739298663,5
0,2,0.11233302339446492,0.1323153069482805,0.03571643793154819,0.14036113972440906,0.07707045663995904,0.08871530671960622,5
0,3,0.11183342951443051,0.12937824832847605,0.03462207866130153,0.1408639637998953,0.07723304285155504,0.08802862980184052,5
0,4,0.10977456062586721,0.1263742277125613,0.0366634354423165,0.1449507098485831,0.07540624304186135,0.0886513533459566,5
0,0,0.11658803182610637,0.11965840270102708,0.03729065096464289,0.13541875796099487,0.07070269038692895,0.07652428815043365,30
0,1,0.11981023519473806,0.1300109165867773,0.04181680107351728,0.1323012694184934,0.07831508330232798,0.0734754183973055,30
0,2,0.11996681303137903,0.1300696964837431,0.04112572274746754,0.1311258488451778,0.07896609980341004,0.07292867503014465,30
0,3,0.11989448396390896,0.12946831576664894,0.04120982245407229,0.13191834849619394,0.07858273386355658,0.07279290754114653,30
0,4,0.11679974294201002,0.12043965742146562,0.04041449567531166,0.1375139771597566,0.07014944568689745,0.074200729526294,30
0,0,0.08234174676081459,0.013970871426337758,0.09767843037028517,0.12902007431994517,0.04706921149857167,0.08411626527877969,218
0,1,0.08359199676516979,0.016260601576481726,0.09425476005276304,0.12837990801827576,0.052002460185053494,0.08230972313389452,218
0,2,0.08317364426038522,0.017463391097373143,0.09212095579056047,0.12898194575147948,0.054443058628336455,0.08287880727616173,218
0,3,0.08216515355606042,0.01778123968755014,0.09197566987383947,0.1304853914717185,0.05526217320090567,0.08452270153045686,218
0,4,0.08091428370104992,0.015709936977698253,0.09078008372372884,0.12938416878464948,0.0496350925274743,0.08196442530452959,218
0,0,0.12266780004234695,0.0752043729260566,0.12363353653205576,0.2318867294265652,0.20109790563170704,0.20591123451973747,2
0,1,0.12360077987966625,0.07191470366729844,0.11848502090765507,0.22500370841707784,0.19220990196073937,0.19425354880834517,2
0,2,0.12460384249335296,0.07144517425951781,0.12734147044908925,0.22976144278160204,0.19256549304054071,0.1969756750108255,2
0,3,0.12337542982377683,0.07140623063382336,0.12403655478812244,0.22918932895165053,0.19216684095890868,0.19759813942820628,2
0,4,0.12160735296956243,0.07086372172772626,0.12320172374011261,0.230102974150461,0.19052989334676695,0.19938734667426722,2
0,0,0.1127613641875605,0.052800677889825044,0.09361378080033121,0.2189973336005251,0.1313333560345806,0.13616959323749217,17
0,1,0.11423459972600988,0.07457238285498978,0.07259915776049237,0.21116429296475903,0.13455163041362653,0.13482401028286986,17
0,2,0.11481836855468358,0.063434395484778,0.08463361231691376,0.21847309116179753,0.13535929856504655,0.13524294122428568,17
0,3,0.11301359344076564,0.04981221901691274,0.09860549307697053,0.2186791508744257,0.13267051324482107,0.13685543824673244,17
0,4,0.11060093539952251,0.07009389458124994,0.07131842381533728,0.20964159950069994,0.1297196538078065,0.13277377532983853,17
0,0,0.0842100383246846,0.03720764175363491,0.09680650057310167,0.14870822720939755,0.10938249840506478,0.11284595519486566,254
0,1,0.08519475306722431,0.036940691620605065,0.09344455513153561,0.14802925488821195,0.10641645435673633,0.11090726683548113,254
0,2,0.08546630841235624,0.03526407090116121,0.09399400436615633,0.14455033554393865,0.10311054601568187,0.10630403593770507,254
0,3,0.08412791882758257,0.03562532238814259,0.09425788973787831,0.14538241010214872,0.1047426773372952,0.10795422273286295,254
0,4,0.08333162876519754,0.035582454748406524,0.0863411671768303,0.1466806061955539,0.10519404705175142,0.10770352657823422,254
0,0,0.11088033636132888,0.07281930578692106,0.1301678579622269,0.18107746199034006,0.19334090691896091,0.10453831498094926,282
0,1,0.11301852152850139,0.06878125049317381,0.14215978367184148,0.17920054085249013,0.18743694899007746,0.10723870440694039,282
0,2,0.11311862407727913,0.06843929967243317,0.1443944341225474,0.18037389994745995,0.18646491442347693,0.10895374891188568,282
0,3,0.11118955950958605,0.07126702997182867,0.13795822782702222,0.18172470540708696,0.1941737249391288,0.11067522114342866,282
0,4,0.10949569905253087,0.06734737586219042,0.13872455193520514,0.18172860205719996,0.18510280544530577,0.10781758036034336,282
0,0,0.11654452978870787,0.0466178945657708,0.15392618363438285,0.20758858755468337,0.13616828758483876,0.0877293593234272,294
0,1,0.11887699941414709,0.04797051391281179,0.15868776264182444,0.2071624419931358,0.14073794500322562,0.08895769820302452,294
0,2,0.11869502234974975,0.04856333193989143,0.16125164529605265,0.20738718211494522,0.1426929238285547,0.08818937106763161,294
0,3,0.11733955888026723,0.04550688313125291,0.1510960679151633,0.2066947907015105,0.13184977696934494,0.08386166957929841,294
0,4,0.11536162532553144,0.04540213433895983,0.14916756042276108,0.20969163781642433,0.132250104313508,0.0863288482599026,294
0,0,0.12287293954157749,0.056689845372969914,0.11401659463314595,0.19786537101699883,0.15026184974922413,0.17730398709741452,301
0,1,0.12459823727456651,0.0595618156582766,0.11226633241672544,0.19482500114230317,0.1555512526852985,0.1761593634106209,301
0,2,0.12347980068392089,0.055239265438521694,0.12355554059215465,0.19606777270339745,0.14426625029623727,0.17942379635074823,301
0,3,0.1227420685686404,0.05480597051117258,0.1289479917753854,0.19995393797501715,0.14493711309865223,0.18423667742361163,301
0,4,0.12073265207451281,0.06048056777570707,0.0999324208475203,0.195369247636712,0.1504028655389611,0.17078850053815406,301
0,0,0.13131800765282103,0.06185322258556546,0.14667018225440256,0.21143174936390263,0.16714439722523336,0.16467182282871712,302
0,1,0.13324389529850386,0.061194953985836534,0.1353176176620042,0.21001645885412873,0.15841497072129693,0.1638996387070726,302
0,2,0.13300298778129457,0.06338041661268128,0.1562399562962904,0.20907688236054145,0.1573772957649927,0.16429095940082755,302
0,3,0.1313191298137243,0.06073384273035755,0.1474779078555121,0.21011248188248133,0.165196385210939,0.1626269191109145,302
0,4,0.1288388521843149,0.06234884335617941,0.14655793515880822,0.21218379008496763,0.16456332877922705,0.1652939867404864,302
0,0,0.08619040876664259,0.027685475427261116,0.07471968774028805,0.1589084923659504,0.06320223809123787,0.12011658579221159,335
0,1,0.08683398178591387,0.021044031672756567,0.090505403614867,0.16468459549471043,0.06691721514048878,0.12649844108623381,335
0,2,0.08701728379924364,0.021387476325107176,0.08858740016812036,0.16442197413567408,0.06704837749797243,0.1258196625895276,335
0,3,0.08579363144085597,0.022012401821915405,0.08597950549907624,0.16375688652954953,0.0676297297058656,0.12526982295664016,335
0,4,0.08461350063942974,0.0233699419905601,0.08261566487610807,0.16316977476998112,0.06928048338530059,0.12477497951127085,335
0,0,0.08301322578941865,0.027947743519840865,0.07373931109473107,0.1340085087629886,0.0783868811474458,0.09707702707471655,339
0,1,0.0846870155520231,0.02581144462997588,0.07885057108105517,0.1324630996276816,0.07655862191595032,0.0939136179076713,339
0,2,0.08476350859783552,0.024511938220623895,0.08030169056969398,0.131198355378134,0.07327524567581001,0.09099867669778068,339
0,3,0.08364711708979028,0.022917662901261477,0.08358424224786146,0.13474197802122173,0.06864888860903147,0.09850539528590262,339
0,4,0.08244708304353753,0.023607070201870396,0.07952830452876711,0.13516527932035072,0.07158189266124305,0.09762579199942552,339
0,0,0.07581814987244954,0.01279442649085263,0.10887331914547979,0.139574663684092,0.041787313186860686,0.08627914764601112,341
0,1,0.07706593752407678,0.01324081804211045,0.1130344446844923,0.1376388593086169,0.043521935570740855,0.08623378228471214,341
0,2,0.07737806926494205,0.013419596361627716,0.1134468006054886,0.13718600292980943,0.043976539031646764,0.08588050188228165,341
0,3,0.07701042776580387,0.012802208416953993,0.11072638590263949,0.13789827275562466,0.04192344952613613,0.08609887696804583,341
0,4,0.07578559859152008,0.012815242245470468,0.10695003017020217,0.1395351897594372,0.041552604018764525,0.0865405990457163,341
0,0,0.13091156430740847,0.2167829283922445,0.051503057385168034,0.1471815739772077,0.2227347985686012,0.11806943896029204,6
0,1,0.13069791360548966,0.213304222425563,0.05164348358592454,0.147520206764082,0.23416728611949886,0.129516226963063,6
0,2,0.12921361720964858,0.21117774331405983,0.050385285770431686,0.14972106386992412,0.23129656620887054,0.12936682790335452,6
0,3,0.13002101310497957,0.21433739106111716,0.05131916603829567,0.1475681170144179,0.2248852468286683,0.12184951514264765,6
0,4,0.12791031265227892,0.20698633241276326,0.052524734630865245,0.15055124249655266,0.2199882356013031,0.12315523313055128,6
0,0,0.12333244895862827,0.05802888828215477,0.15195960877409462,0.20799845609418255,0.15552107017914235,0.15466955398259902,362
0,1,0.12468223476885834,0.05769373231905671,0.14736586499059717,0.20490451376164148,0.15022519626420183,0.15051245460783616,362
0,2,0.12460528062342667,0.05868586712502051,0.1560566564137455,0.20756008521569425,0.15820288236011426,0.15639556738554006,362
0,3,0.1244283927464129,0.05892428392033886,0.15785710846774276,0.20846013508427194,0.16090578249606358,0.15840674770395743,362
0,4,0.12182715899227992,0.058426903546291126,0.15360284594579235,0.20971671690365548,0.15861816305010779,0.15729114902735786,362
