,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,0,111,2390,0.026,0.048,0.044,0.086,0.125,0.066,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,1,0,111,1680,0.023,0.064,0.052,0.079,0.126,0.062,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,1,0,111,2690,0.023,0.035,0.043,0.083,0.126,0.088,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,1,0,111,2830,0.023,0.099,0.073,0.084,0.13,0.124,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,1,0,111,1740,0.023,0.059,0.057,0.083,0.156,0.089,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,2,0,207,2970,0.027,0.037,0.024,0.084,0.129,0.069,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,2,0,207,1820,0.023,0.086,0.051,0.081,0.136,0.078,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,2,0,207,1510,0.025,0.085,0.054,0.081,0.114,0.079,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,2,0,207,1730,0.019,0.092,0.06,0.07,0.135,0.128,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,2,0,207,1580,0.023,0.076,0.05,0.08,0.12,0.077,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,1,0,215,2820,0.021,0.04,0.037,0.074,0.139,0.089,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,1,0,215,2950,0.027,0.032,0.028,0.081,0.121,0.076,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,1,0,215,2510,0.025,0.03,0.079,0.078,0.106,0.093,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,1,0,215,1940,0.036,0.038,0.06,0.092,0.106,0.063,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,1,0,215,1990,0.024,0.047,0.026,0.084,0.125,0.076,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,2,0,455,2980,0.022,0.03,0.037,0.073,0.11,0.081,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,2,0,455,2440,0.023,0.048,0.045,0.082,0.13,0.076,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,2,0,455,1680,0.026,0.053,0.054,0.08,0.139,0.076,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,2,0,455,2140,0.021,0.075,0.042,0.075,0.116,0.076,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,2,0,455,1510,0.021,0.103,0.067,0.077,0.116,0.125,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,1,0,111,2390,0.026,0.048,0.044,0.086,0.125,0.066,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,3,1,0,111,1680,0.023,0.064,0.052,0.079,0.126,0.062,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,3,1,0,111,2690,0.023,0.035,0.043,0.083,0.126,0.088,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,3,1,0,111,2830,0.023,0.099,0.073,0.084,0.13,0.124,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,3,1,0,111,1740,0.023,0.059,0.057,0.083,0.156,0.089,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,3,2,0,207,2970,0.027,0.037,0.024,0.084,0.129,0.069,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,3,2,0,207,1820,0.023,0.086,0.051,0.081,0.136,0.078,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,3,2,0,207,1510,0.025,0.085,0.054,0.081,0.114,0.079,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,3,2,0,207,1730,0.019,0.092,0.06,0.07,0.135,0.128,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,3,2,0,207,1580,0.023,0.076,0.05,0.08,0.12,0.077,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,5,1,0,215,2820,0.021,0.04,0.037,0.074,0.139,0.089,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,5,1,0,215,2950,0.027,0.032,0.028,0.081,0.121,0.076,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,5,1,0,215,2510,0.025,0.03,0.079,0.078,0.106,0.093,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,5,1,0,215,1940,0.036,0.038,0.06,0.092,0.106,0.063,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,5,1,0,215,1990,0.024,0.047,0.026,0.084,0.125,0.076,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,5,2,0,455,2980,0.022,0.03,0.037,0.073,0.11,0.081,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,5,2,0,455,2440,0.023,0.048,0.045,0.082,0.13,0.076,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,5,2,0,455,1680,0.026,0.053,0.054,0.08,0.139,0.076,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,5,2,0,455,2140,0.021,0.075,0.042,0.075,0.116,0.076,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,5,2,0,455,1510,0.021,0.103,0.067,0.077,0.116,0.125,0.10000000149011612,0.800000011920929,,False,0.1
